Final Max Accuracy: 92.92230261088392% in 0:1:28
Test Config: lr: 0.01, linear: False, loss_fn: ce, optim: sgd
Epoch: 9150, Train loss: 4.940881370113303, Test Loss: 5.02698142047011, Accuracy: 92.63919471531928
Epoch: 9200, Train loss: 4.940244228554051, Test Loss: 5.026663440699733, Accuracy: 92.63919471531928
Epoch: 9250, Train loss: 4.939615675125434, Test Loss: 5.026354088223767, Accuracy: 92.6706511481598
Epoch: 9300, Train loss: 4.938995505312213, Test Loss: 5.026049576988836, Accuracy: 92.6706511481598
Epoch: 9350, Train loss: 4.938383415245326, Test Loss: 5.025744554129549, Accuracy: 92.6706511481598
Epoch: 9400, Train loss: 4.937779215231876, Test Loss: 5.025446810402279, Accuracy: 92.6706511481598
Epoch: 9450, Train loss: 4.937182805960697, Test Loss: 5.025150685444893, Accuracy: 92.6706511481598
Epoch: 9500, Train loss: 4.936593929158604, Test Loss: 5.024859230876977, Accuracy: 92.6706511481598
Epoch: 9550, Train loss: 4.936012665590028, Test Loss: 5.024571230001063, Accuracy: 92.6706511481598
Epoch: 9600, Train loss: 4.935438787291863, Test Loss: 5.0242863110808695, Accuracy: 92.6706511481598
Epoch: 9650, Train loss: 4.934872186180784, Test Loss: 5.024005616073052, Accuracy: 92.6706511481598
Epoch: 9700, Train loss: 4.9343127520540575, Test Loss: 5.023729629552958, Accuracy: 92.70210758100032
Epoch: 9750, Train loss: 4.933760359617745, Test Loss: 5.023458612789083, Accuracy: 92.70210758100032
Epoch: 9800, Train loss: 4.9332150502359795, Test Loss: 5.023189489021149, Accuracy: 92.6706511481598
Epoch: 9850, Train loss: 4.932676763390966, Test Loss: 5.022923142938883, Accuracy: 92.63919471531928
Epoch: 9900, Train loss: 4.932145219215018, Test Loss: 5.022659181038664, Accuracy: 92.63919471531928
Epoch: 9950, Train loss: 4.931620482422809, Test Loss: 5.022394877867696, Accuracy: 92.63919471531928
Epoch: 10000, Train loss: 4.931102557377213, Test Loss: 5.022133670199398, Accuracy: 92.63919471531928
Epoch: 10050, Train loss: 4.9305913161744614, Test Loss: 5.02187500377419, Accuracy: 92.63919471531928
Epoch: 10100, Train loss: 4.9300867062919185, Test Loss: 5.0216212810059915, Accuracy: 92.63919471531928
Epoch: 10150, Train loss: 4.929588516900335, Test Loss: 5.021370621742889, Accuracy: 92.6706511481598
Epoch: 10200, Train loss: 4.9290966465225985, Test Loss: 5.021120660370634, Accuracy: 92.6706511481598
Epoch: 10250, Train loss: 4.928611206543699, Test Loss: 5.0208769791599, Accuracy: 92.6706511481598
Epoch: 10300, Train loss: 4.928132262359288, Test Loss: 5.020638323618557, Accuracy: 92.6706511481598
Epoch: 10350, Train loss: 4.927659654955997, Test Loss: 5.020398821018409, Accuracy: 92.70210758100032
Epoch: 10400, Train loss: 4.927193112822509, Test Loss: 5.0201623537097655, Accuracy: 92.73356401384083
Epoch: 10450, Train loss: 4.92673257895123, Test Loss: 5.019928680666335, Accuracy: 92.73356401384083
Epoch: 10500, Train loss: 4.926278307060651, Test Loss: 5.019699181817198, Accuracy: 92.73356401384083
Epoch: 10550, Train loss: 4.925829934381017, Test Loss: 5.019471907038994, Accuracy: 92.73356401384083
Epoch: 10600, Train loss: 4.925387260479342, Test Loss: 5.019249216235305, Accuracy: 92.76502044668135
Epoch: 10650, Train loss: 4.924950343684515, Test Loss: 5.019027065214325, Accuracy: 92.76502044668135
Epoch: 10700, Train loss: 4.924519074718659, Test Loss: 5.018807235811356, Accuracy: 92.76502044668135
Epoch: 10750, Train loss: 4.9240933561779014, Test Loss: 5.0185902669906355, Accuracy: 92.76502044668135
Epoch: 10800, Train loss: 4.923673016891004, Test Loss: 5.01837280323102, Accuracy: 92.76502044668135
Epoch: 10850, Train loss: 4.923257913877616, Test Loss: 5.018159520856686, Accuracy: 92.76502044668135
Epoch: 10900, Train loss: 4.9228481693787565, Test Loss: 5.017947887421928, Accuracy: 92.76502044668135
Epoch: 10950, Train loss: 4.92244358876295, Test Loss: 5.01773824958822, Accuracy: 92.76502044668135
Epoch: 11000, Train loss: 4.92204405249535, Test Loss: 5.017532754196595, Accuracy: 92.73356401384083
Epoch: 11050, Train loss: 4.921649535651649, Test Loss: 5.017329866798305, Accuracy: 92.76502044668135
Epoch: 11100, Train loss: 4.921259887736389, Test Loss: 5.01712741365293, Accuracy: 92.73356401384083
Epoch: 11150, Train loss: 4.920875070928915, Test Loss: 5.0169274538053985, Accuracy: 92.73356401384083
Epoch: 11200, Train loss: 4.920494850074083, Test Loss: 5.016729435865258, Accuracy: 92.73356401384083
Epoch: 11250, Train loss: 4.920119230675681, Test Loss: 5.0165338081472655, Accuracy: 92.70210758100032
Epoch: 11300, Train loss: 4.919748171709112, Test Loss: 5.016339479580234, Accuracy: 92.76502044668135
Epoch: 11350, Train loss: 4.919381515188215, Test Loss: 5.016149912397474, Accuracy: 92.76502044668135
Epoch: 11400, Train loss: 4.919019165823864, Test Loss: 5.01595957734958, Accuracy: 92.76502044668135
Epoch: 11450, Train loss: 4.91866099326103, Test Loss: 5.015767915400708, Accuracy: 92.76502044668135
Epoch: 11500, Train loss: 4.918307045247183, Test Loss: 5.015579330924191, Accuracy: 92.76502044668135
Epoch: 11550, Train loss: 4.917957276308591, Test Loss: 5.015392870132847, Accuracy: 92.76502044668135
Epoch: 11600, Train loss: 4.917611670407058, Test Loss: 5.015210249368012, Accuracy: 92.79647687952186
Epoch: 11650, Train loss: 4.917269995896406, Test Loss: 5.015027287600775, Accuracy: 92.79647687952186
Epoch: 11700, Train loss: 4.916932158022464, Test Loss: 5.014845466631589, Accuracy: 92.79647687952186
Epoch: 11750, Train loss: 4.916598167598903, Test Loss: 5.014665483238114, Accuracy: 92.79647687952186
Epoch: 11800, Train loss: 4.916267845714798, Test Loss: 5.014486177381776, Accuracy: 92.79647687952186
Epoch: 11850, Train loss: 4.915941223682799, Test Loss: 5.014309467394349, Accuracy: 92.79647687952186
Epoch: 11900, Train loss: 4.915618121847082, Test Loss: 5.014135145436734, Accuracy: 92.79647687952186
Epoch: 11950, Train loss: 4.915298563427829, Test Loss: 5.013962408857228, Accuracy: 92.79647687952186
Epoch: 12000, Train loss: 4.914982399913622, Test Loss: 5.013794058016445, Accuracy: 92.79647687952186
Epoch: 12050, Train loss: 4.914669603352918, Test Loss: 5.013623910726103, Accuracy: 92.79647687952186
Epoch: 12100, Train loss: 4.914359918541742, Test Loss: 5.013455733139714, Accuracy: 92.79647687952186
Epoch: 12150, Train loss: 4.914053557102414, Test Loss: 5.013288274646291, Accuracy: 92.79647687952186
Epoch: 12200, Train loss: 4.913750487107548, Test Loss: 5.013123103205664, Accuracy: 92.79647687952186
Epoch: 12250, Train loss: 4.913450594600023, Test Loss: 5.012959590562694, Accuracy: 92.79647687952186
Epoch: 12300, Train loss: 4.913153729283849, Test Loss: 5.012792808034188, Accuracy: 92.79647687952186
